categoria,porcentagem
Open Source,0.0062
Mobile,0.0031
Java,0.2972
Software Engineering,0.0495
Internet,0.1269
Web Development,0.0526
Miscellaneous,0.0062
Microsoft .NET,0.1053
Microsoft,0.0248
Next Generation Databases,0.0031
PowerBuilder,0.0217
Client-Server,0.0341
Computer Graphics,0.0186
Object-Oriented Programming,0.0124
S,0.0031
Networking,0.0217
Theory,0.0217
Programming,0.0372
Python,0.0186
Mobile Technology,0.0186
Business,0.0372
P,0.0031
XML,0.0124
Perl,0.0186
java,0.0031
Microsoft/.NET,0.0031
Miscella,0.0031
Object-Technology Programming,0.0031
,0.0062
internet,0.0031
.NET,0.0031
Algorithmic Art,0.0031
PHP,0.0031
SOA,0.0031
Computer Graph,0.0031
Client Server,0.0031
In Action,0.0031
Software Development,0.0031
